Fold,Model,AUC,Brier,Slope,Imputation,Delta,Threshold
1,glmnet,0.535960591133005,0.2503594113481818,0.4259485167043345,1,5,0
1,rf,0.5310344827586206,0.2583660518682783,0.17176438031313532,1,5,0
1,xgb,0.5684729064039409,0.26591362846985944,0.2108955230530908,1,5,0
2,glmnet,0.5,0.247805891964629,NA,1,5,0
2,rf,0.6246305418719211,0.23600296987743774,0.9572950436231535,1,5,0
2,xgb,0.5901477832512315,0.24323898142035918,0.5912209137535508,1,5,0
3,glmnet,0.6551724137931034,0.2311740293802089,1.5699829755420236,1,5,0
3,rf,0.5645320197044335,0.244013141629393,0.6452020921451519,1,5,0
3,xgb,0.5891625615763547,0.24198100003761394,0.6818149412765184,1,5,0
4,glmnet,0.5405679513184585,0.2588626636650856,0.14543298973330537,1,5,0
4,rf,0.5486815415821501,0.2570975842869198,0.18873926600079427,1,5,0
4,xgb,0.5365111561866126,0.2723626151704056,0.0760258236728255,1,5,0
5,glmnet,0.5517241379310345,0.2601606487988621,-0.3643951616580792,1,5,0
5,rf,0.6019704433497537,0.3029358845176413,-0.56847337881615,1,5,0
5,xgb,0.5733990147783251,0.3012628790392664,-0.3220968104224913,1,5,0
1,glmnet,0.5794534412955465,0.2364876322004415,1.1895947132899012,1,5,-5
1,rf,0.5587044534412956,0.25949358852849835,-0.4251982419528363,1,5,-5
1,xgb,0.5819838056680162,0.27915138960654584,-0.534559980564028,1,5,-5
2,glmnet,0.555668016194332,0.26701534268364513,-0.4606460647113962,1,5,-5
2,rf,0.43016194331983804,0.2720882375037095,-0.6728365497763853,1,5,-5
2,xgb,0.6072874493927125,0.2889721015094108,-0.5929125927294538,1,5,-5
3,glmnet,0.6036036036036035,0.2470723725061779,-8.05704817812075,1,5,-5
3,rf,0.6146146146146146,0.2783801711200251,-0.6434322231036336,1,5,-5
3,xgb,0.5715715715715716,0.2827176878236366,-0.538005866899188,1,5,-5
4,glmnet,0.5571725571725572,0.24337184269735987,0.4402052056930606,1,5,-5
4,rf,0.6216216216216216,0.23119316864076023,0.7686363550913197,1,5,-5
4,xgb,0.5384615384615384,0.25167259887482546,0.2770250130288061,1,5,-5
5,glmnet,0.4676113360323887,0.2411130415565638,0.5326290397224802,1,5,-5
5,rf,0.49291497975708504,0.25849191373859237,-0.020366328691311324,1,5,-5
5,xgb,0.5050607287449392,0.25628057836575446,0.05257446846815258,1,5,-5
1,glmnet,0.5286796536796536,0.2254521330315628,0.6902661169271983,1,5,-7
1,rf,0.5097402597402597,0.23521212632816654,0.13174705653485427,1,5,-7
1,xgb,0.49567099567099565,0.24389871284369813,0.014715781750349651,1,5,-7
2,glmnet,0.5365853658536586,0.2429682045385521,-0.5902974787457596,1,5,-7
2,rf,0.49522799575821846,0.2474253213309433,-0.06421970324219368,1,5,-7
2,xgb,0.5174973488865323,0.25621685221078805,-0.0323731964193932,1,5,-7
3,glmnet,0.5,0.22730049254402285,NA,1,5,-7
3,rf,0.5155210643015521,0.23899150122835416,0.051185827970873496,1,5,-7
3,xgb,0.5753880266075387,0.2289401990932431,0.3959282914156268,1,5,-7
4,glmnet,0.5567338282078473,0.23506196594759018,0.20175919124250077,1,5,-7
4,rf,0.5715800636267232,0.2309824248965819,0.46818790721044723,1,5,-7
4,xgb,0.5418875927889714,0.23885743488123154,0.22936510455423903,1,5,-7
5,glmnet,0.5752916224814422,0.23846085212137907,-1.9742944000327065,1,5,-7
5,rf,0.5344644750795334,0.2585233313128254,-0.15507097697928085,1,5,-7
5,xgb,0.5906680805938495,0.2741581329637649,-0.42488140992371864,1,5,-7
1,glmnet,0.6081235697940504,0.20568765438104572,7.030688691839845,1,5,-10
1,rf,0.5560640732265446,0.2283880773299191,-0.2531308631118961,1,5,-10
1,xgb,0.545766590389016,0.21379276673191439,0.28776104166932137,1,5,-10
2,glmnet,0.6438271604938272,0.19545556164149341,2.1025455909496444,1,5,-10
2,rf,0.5419753086419753,0.2039050364627493,0.42706341139286713,1,5,-10
2,xgb,0.5604938271604938,0.20927691005003543,0.2978305570358763,1,5,-10
3,glmnet,0.5483091787439613,0.22892360829429115,-0.36289929290304274,1,5,-10
3,rf,0.4492753623188406,0.22519933002680448,-0.34823871413255475,1,5,-10
3,xgb,0.49396135265700486,0.21855647811326223,-0.08021746911802312,1,5,-10
4,glmnet,0.5407407407407407,0.20980966700719358,0.2907411485545784,1,5,-10
4,rf,0.5395061728395062,0.23091416170261286,-0.27403531697117495,1,5,-10
4,xgb,0.5148148148148148,0.2167848935286509,0.11788590909909562,1,5,-10
5,glmnet,0.5239766081871345,0.2109802129410283,-0.1410356377905368,1,5,-10
5,rf,0.6046783625730994,0.20094858138787505,0.7269051074866442,1,5,-10
5,xgb,0.5625730994152046,0.21101622953371268,0.4084172845698833,1,5,-10
1,glmnet,0.7559523809523809,0.20049014333613194,1.421890996028164,2,5,0
1,rf,0.7152777777777778,0.2148635323677678,1.2723586018665431,2,5,0
1,xgb,0.6884920634920635,0.21600864613812265,0.9334081532078635,2,5,0
2,glmnet,0.5683673469387756,0.2636833322074733,0.1843002527183225,2,5,0
2,rf,0.5540816326530612,0.26121001580770564,0.15977716898670427,2,5,0
2,xgb,0.539795918367347,0.2760980420067806,0.01905194762741235,2,5,0
3,glmnet,0.7083333333333334,0.22023449127473288,0.8242239798419668,2,5,0
3,rf,0.6378968253968254,0.23611913497845005,0.6536268616644018,2,5,0
3,xgb,0.6557539682539683,0.23751674016660826,0.5814219437340016,2,5,0
4,glmnet,0.6755952380952381,0.2251035305188601,0.8057435231415796,2,5,0
4,rf,0.48214285714285715,0.26308529752633786,0.19145138255576424,2,5,0
4,xgb,0.5555555555555556,0.2693677383293076,0.23337417830739524,2,5,0
5,glmnet,0.6205357142857143,0.23648377781388982,0.76099223796675,2,5,0
5,rf,0.6349206349206349,0.23939155985270358,0.6765780836682812,2,5,0
5,xgb,0.5982142857142857,0.24697412511991998,0.517367881960345,2,5,0
1,glmnet,0.5954545454545455,0.208808489325774,0.5561274931397487,2,5,-5
1,rf,0.6386363636363637,0.20684831745852897,0.60056661957855,2,5,-5
1,xgb,0.6090909090909091,0.20891078151269893,0.49202018003873343,2,5,-5
2,glmnet,0.7476076555023923,0.18058385583623282,1.2568318580088806,2,5,-5
2,rf,0.6004784688995215,0.21163039163661687,0.5505369160633332,2,5,-5
2,xgb,0.5705741626794258,0.20890113870748467,0.48749538848598367,2,5,-5
3,glmnet,0.5885167464114832,0.22520848769705068,0.38785530460319545,2,5,-5
3,rf,0.6698564593301435,0.19627709856426293,1.0480362985605658,2,5,-5
3,xgb,0.6267942583732057,0.2084261694949933,0.5966486216174647,2,5,-5
4,glmnet,0.7,0.194796578410486,0.9810982594360513,2,5,-5
4,rf,0.66,0.2054023380467626,0.8212780770342323,2,5,-5
4,xgb,0.6977777777777778,0.19565831978207662,0.9854718959993933,2,5,-5
5,glmnet,0.6636363636363637,0.2050374439371131,0.6343664598754334,2,5,-5
5,rf,0.5772727272727273,0.22412139611941684,0.3058338080994186,2,5,-5
5,xgb,0.55,0.23539807448843925,0.12429891166740224,2,5,-5
1,glmnet,0.6848404255319149,0.17386042091683163,1.1317631120195921,2,5,-7
1,rf,0.5704787234042553,0.18693955929988315,0.4608928326952933,2,5,-7
1,xgb,0.6117021276595744,0.18657416657574005,0.46937535003826714,2,5,-7
2,glmnet,0.6157697121401752,0.18723175152318147,0.7149219509013078,2,5,-7
2,rf,0.539424280350438,0.20173289243506626,0.2926326988864012,2,5,-7
2,xgb,0.5319148936170213,0.21446543451243819,0.10836293867867561,2,5,-7
3,glmnet,0.5269086357947435,0.22804710110803444,-0.009737614270544537,2,5,-7
3,rf,0.4693366708385482,0.21672307934962307,-0.22172543267899444,2,5,-7
3,xgb,0.5832290362953692,0.22669368677431476,-0.34971839635787516,2,5,-7
4,glmnet,0.5,0.18892993212772927,-0.11868065256447653,2,5,-7
4,rf,0.54296875,0.19086733243198714,0.4404248413720916,2,5,-7
4,xgb,0.5143229166666666,0.20408310040841648,0.0581605591320331,2,5,-7
5,glmnet,0.6171875,0.18490567897118954,1.7735588054767217,2,5,-7
5,rf,0.49609375,0.19585483659391237,0.1401902253297282,2,5,-7
5,xgb,0.5208333333333334,0.19401948231321622,0.233847391638655,2,5,-7
1,glmnet,0.6376923076923077,0.16042216497433476,3.6057422969576853,2,5,-10
1,rf,0.5015384615384616,0.174645935727943,0.09645920137098617,2,5,-10
1,xgb,0.43846153846153846,0.161799850677461,0.4735776452959512,2,5,-10
2,glmnet,0.6576168929110106,0.16337632852894166,0.585905830779153,2,5,-10
2,rf,0.6153846153846154,0.16038101396062257,0.6483685615265259,2,5,-10
2,xgb,0.6380090497737557,0.16361361534762528,0.49155534866084943,2,5,-10
3,glmnet,0.3891402714932127,0.16490190057834414,0.5377741926112461,2,5,-10
3,rf,0.669683257918552,0.1511316447306186,0.941700363368016,2,5,-10
3,xgb,0.6711915535444948,0.15230037285952702,0.7794037466432349,2,5,-10
4,glmnet,0.5882352941176471,0.16109308141366904,0.6444974911007698,2,5,-10
4,rf,0.6742081447963801,0.15356135631965664,1.2350345573456314,2,5,-10
4,xgb,0.6892911010558069,0.15033403587248162,1.0162949840022397,2,5,-10
5,glmnet,0.5301659125188537,0.1619737219944159,0.5681651300667055,2,5,-10
5,rf,0.6123680241327301,0.17057873179131194,0.4239732959913434,2,5,-10
5,xgb,0.6214177978883861,0.16496845432467117,0.5468992654526257,2,5,-10
