"Threshold","Model","IPCW","MICE","MNAR_d5","MNAR_d7","MNAR_d10","Comment"
-10,"glmnet","0.154 [0.074]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.145 [0.044]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.168 [0.041]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.184 [0.035]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.204 [0.038]</span>","IPCW slightly better"
-10,"rf","0.152 [0.051]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.150 [0.055]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.172 [0.045]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.191 [0.036]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.215 [0.036]</span>","IPCW slightly better"
-10,"xgb","0.169 [0.080]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.146 [0.055]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.168 [0.048]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.192 [0.036]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.211 [0.036]</span>","IPCW slightly better"
-7,"glmnet","0.166 [0.056]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.161 [0.038]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.195 [0.041]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.208 [0.030]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.224 [0.034]</span>","IPCW slightly better"
-7,"rf","0.182 [0.057]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.169 [0.047]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.202 [0.041]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.215 [0.033]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.230 [0.037]</span>","IPCW slightly better"
-7,"xgb","0.201 [0.069]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.172 [0.049]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.206 [0.046]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.221 [0.036]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.231 [0.035]</span>","IPCW slightly better"
-5,"glmnet","0.167 [0.054]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.177 [0.032]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.214 [0.031]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.219 [0.027]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.230 [0.030]</span>","MICE > IPCW; MNAR robust"
-5,"rf","0.157 [0.042]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.184 [0.037]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.216 [0.035]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.223 [0.033]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.239 [0.029]</span>","MICE > IPCW; MNAR robust"
-5,"xgb","0.181 [0.086]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.184 [0.042]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.217 [0.039]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.223 [0.037]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.240 [0.035]</span>","MICE > IPCW; MNAR robust"
0,"glmnet","0.249 [0.033]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.221 [0.023]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.226 [0.022]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.229 [0.028]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.228 [0.023]</span>","IPCW slightly better"
0,"rf","0.261 [0.068]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.227 [0.027]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.238 [0.022]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.237 [0.034]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.235 [0.023]</span>","IPCW slightly better"
0,"xgb","0.281 [0.065]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.228 [0.029]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.232 [0.027]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.240 [0.037]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.234 [0.029]</span>","IPCW slightly better"
