"Threshold","Model","IPCW","MICE","MNAR_d5","MNAR_d7","MNAR_d10","Comment"
-10,"glmnet","0.376 [0.801]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >1.005 [1.198]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.901 [1.253]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.953 [1.128]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.984 [1.145]</span>","MICE > IPCW; MNAR robust"
-10,"rf","0.286 [0.753]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.656 [0.817]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.595 [0.578]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.562 [0.818]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.451 [0.648]</span>","MICE > IPCW; MNAR robust"
-10,"xgb","0.133 [0.343]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.658 [0.606]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.535 [0.485]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.427 [0.560]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.497 [0.529]</span>","MICE > IPCW; MNAR robust"
-7,"glmnet","0.302 [0.374]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.840 [0.773]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.745 [0.970]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.821 [0.871]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.808 [1.130]</span>","MICE > IPCW; MNAR robust"
-7,"rf","0.443 [0.966]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.497 [0.624]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.533 [0.699]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.619 [0.530]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.419 [0.527]</span>","MICE > IPCW; decline with MNAR"
-7,"xgb","0.223 [0.338]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.456 [0.610]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.469 [0.491]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.466 [0.429]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.380 [0.472]</span>","MICE > IPCW; MNAR robust"
-5,"glmnet","0.423 [0.789]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.858 [0.727]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.774 [0.615]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.748 [0.521]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.778 [0.786]</span>","MICE > IPCW; MNAR robust"
-5,"rf","0.653 [0.818]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.666 [0.668]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.670 [0.655]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.612 [0.537]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.536 [0.558]</span>","MICE > IPCW; decline with MNAR"
-5,"xgb","0.234 [0.333]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.571 [0.571]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.476 [0.525]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.532 [0.375]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.442 [0.460]</span>","MICE > IPCW; MNAR robust"
0,"glmnet","0.656 [1.177]","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(209, 255, 209, 255) !important;"" >0.882 [0.519]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: white !important;"" >0.842 [0.669]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 247, 209, 255) !important;"" >0.855 [0.794]</span>","<span style=""     border-radius: 4px; padding-right: 4px; padding-left: 4px; background-color: rgba(255, 209, 209, 255) !important;"" >0.801 [0.656]</span>","MICE > IPCW; MNAR robust"
