Fold,Model,AUC,Brier,Slope,Imputation,Delta,Threshold
1,glmnet,0.5193877551020408,0.26046686597595237,0.19625891137418472,1,7,0
1,rf,0.5489795918367347,0.24882749548079286,0.4864151762188353,1,7,0
1,xgb,0.5867346938775511,0.245795402542188,0.5251839268379893,1,7,0
2,glmnet,0.521329365079365,0.24470119655254027,0.8188433726744425,1,7,0
2,rf,0.5248015873015873,0.27498555020026866,-0.21950204453887046,1,7,0
2,xgb,0.5376984126984127,0.2852016706142313,-0.18519109311836904,1,7,0
3,glmnet,0.6780753968253969,0.2342410362705968,2.46228317253955,1,7,0
3,rf,0.564484126984127,0.24899641317289445,0.3582192882202598,1,7,0
3,xgb,0.613095238095238,0.24326645909787217,0.530855902212025,1,7,0
4,glmnet,0.5386904761904762,0.24427284261015944,0.5677575825976245,1,7,0
4,rf,0.47817460317460314,0.2596005669893981,0.02844034967686321,1,7,0
4,xgb,0.5446428571428571,0.2626352313168774,0.10806113671267782,1,7,0
5,glmnet,0.5496031746031745,0.2499070107080508,0.39709405899120137,1,7,0
5,rf,0.5317460317460317,0.2543732112228492,0.21110687504401987,1,7,0
5,xgb,0.5337301587301587,0.26069468223650544,0.15088466056968544,1,7,0
1,glmnet,0.5,0.24613129565551706,NA,1,7,-5
1,rf,0.46726190476190477,0.2481801238665513,0.4114635243137683,1,7,-5
1,xgb,0.5793650793650793,0.24539842690839397,0.4456343469154222,1,7,-5
2,glmnet,0.5405405405405405,0.2480689525669661,-1.153117145768471,1,7,-5
2,rf,0.5805805805805806,0.29015416657461923,-0.3958258216862622,1,7,-5
2,xgb,0.5705705705705706,0.29416807390142835,-0.32670084176373837,1,7,-5
3,glmnet,0.5545267489711934,0.2530055110418826,-0.6973043318916625,1,7,-5
3,rf,0.5987654320987654,0.28459173638459356,-0.6497047647644035,1,7,-5
3,xgb,0.6172839506172839,0.30383672808156786,-0.6826924408804502,1,7,-5
4,glmnet,0.5426587301587301,0.2676197965625822,-0.32341292882814826,1,7,-5
4,rf,0.5446428571428571,0.26720800005061,-0.36394285272890836,1,7,-5
4,xgb,0.49702380952380953,0.2697302435674719,-0.25313110464922045,1,7,-5
5,glmnet,0.5069444444444444,0.25208668025348,0.15844201630150753,1,7,-5
5,rf,0.5287698412698413,0.2538275866318865,0.15372316293786972,1,7,-5
5,xgb,0.5158730158730159,0.2595800765909082,0.06640392647362425,1,7,-5
1,glmnet,0.4733333333333333,0.23981978803057014,-0.9610013467454607,1,7,-7
1,rf,0.5405128205128206,0.2451384694122088,0.21801866109449733,1,7,-7
1,xgb,0.5035897435897436,0.2619099741096824,-0.1304732923146516,1,7,-7
2,glmnet,0.5710059171597632,0.2485131335693301,-2.523222974125943,1,7,-7
2,rf,0.5818540433925049,0.27030367837560554,-0.5317151802707647,1,7,-7
2,xgb,0.5660749506903353,0.26993463904168674,-0.21019620142505896,1,7,-7
3,glmnet,0.5,0.23936026436941965,NA,1,7,-7
